Denominazione,Categoria,Comune,Indirizzo,Latitudine,Longitudine,Prezzo,Contatti
Museo del Satiro (Chiesa di Sant'Egidio),"museo, galleria, raccolta",Mazara del Vallo,"piazza plebiscito, Mazara del Vallo, Italia",nan,nan,6.0,0923933917
Museo regionale casa-museo Antonino Uccello a Palazzolo Acreide,"museo, galleria, raccolta",Palazzolo Acreide,"via machiavelli, Palazzolo Acreide, Italia",nan,nan,2.0,0931 881499
Area archeologica Parco Forza,area o parco archeologico,Ispica,"Ispica, Italia",nan,nan,2.0,0932952608
Villa Romana di San Biagio,area o parco archeologico,Terme Vigliatore,"via nazionale, Terme Vigliatore, Italia",nan,nan,0.0,0909740488
Antiquarium iconografico e Mura Timoleontee di Capo Soprano,area o parco archeologico,Gela,"viale indipendenza, Gela, Italia",nan,nan,4.0,093391226 - 0933930975
Chiostro Santa Maria la Nuova (Duomo),monumento o complesso monumentale,Monreale,"piazza guglielmo il buono, Monreale, Italia",nan,nan,6.0,0917071425 - 0917071411 -  0916404403
Palazzo Ajutamicristo,monumento o complesso monumentale,Palermo,"via garibaldi, Palermo, Italia",nan,nan,0.0,0917071425 - 3357957161
Museo delle Tradizioni silvo-pastorali di Mistretta,"museo, galleria, raccolta",Mistretta,"via libertà, Mistretta, Italia",nan,nan,0.0,0921381696 (temporaneamente disattivato)
Villino Florio e Giardino,area o parco archeologico,Palermo,"viale regina margherita, Palermo, Italia",nan,nan,0.0,0917025471 - 0917071425
Chiostro di San Giovanni degli Eremiti,monumento o complesso monumentale,Palermo,"via dei benedettini, Palermo, Italia",nan,nan,6.0,0917071425 - 0916515019  - 0917071411
Castello di Bauso,monumento o complesso monumentale,Villafranca Tirrena,"piazza castello, Villafranca Tirrena, Italia",nan,nan,0.0,090334948
Bagni di Cefalà Diana,area o parco archeologico,Cefalà Diana,"Cefalà Diana, Italia",nan,nan,0.0,0917071425 - Rangers 0918291551
Area archeologica di Monte Sant'Angelo e Castel Sant'Angelo,area o parco archeologico,Licata,"Licata, Italia",nan,nan,0.0,0922772602
Area archeologica di Licata,area o parco archeologico,Licata,"Licata, Italia",nan,nan,0.0,0922772602
Area archeologica Teatro antico e Antiquarium di Tindari,area o parco archeologico,Patti,"via del teatro greco, Patti, Italia",nan,nan,6.0,0941369023
Museo regionale di Kamarina,"museo, galleria, raccolta",Ragusa,"Ragusa, Italia",nan,nan,4.0,0932 826004
Zona Archeologica,"museo, galleria, raccolta",Ravanusa,"Ravanusa, Italia",nan,nan,0.0,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611
Biblioteca - Museo regionale Luigi Pirandello di Agrigento,"museo, galleria, raccolta",Agrigento,"Agrigento, Italia",nan,nan,4.0,0922511826 e-mail: polomuseale.ag.uo3@regione.sicilia.it
Terme della Rotonda,area o parco archeologico,Catania,"via della mecca, Catania, Italia",nan,nan,0.0,095/7150508 - polomuseale.ct@regione.sicilia.it  poloregionalect.urp@regione.sicilia.it
Antiquarium di Monte Adranone,"museo, galleria, raccolta",Sambuca di Sicilia,"Sambuca di Sicilia, Italia",nan,nan,6.0,0925946083
Terme Romane dell'Indirizzo,area o parco archeologico,Catania,"piazza currò, Catania, Italia",nan,nan,0.0,095/7150508- polomuseale.ct@regione.sicilia.it  poloregionalect.urp@regione.sicilia.it
Antiquarium di Monte Kronio - Stufe di S. Calogero,"museo, galleria, raccolta",Sciacca,"Sciacca, Italia",nan,nan,4.0,092528989
Museo archeologico regionale Bernabo' Brea a Lipari,"museo, galleria, raccolta",Lipari,"via del castello, Lipari, Italia",nan,nan,6.0,0909880174/594 fax 0909880175
