"NCE","OGA","OGS","OGN","CNL","AQS","LCP","LCC","LCL","LCI","LATITUDINE","LONGITUDINE","FRF","FRM","FRD","FRBT","FRBI","FRBC","FROP","FROS","FROG","FROO","FRI","FRZS","FRZI","CNTT","CNTE","CNTW","CNTS"
"R20FRB0001","museo, galleria e/o raccolta","Archeologia","Museo della Statuaria Preistorica in Sardegna","https://www.sardegnacultura.it/j/v/258?s=18981&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo della Statuaria Preistorica in Sardegna","OR","Laconi",,"Piazza G. Marconi, 10","39.854474546","9.052288387","aperto","a pagamento","Il percorso museale è attualmente articolato in 11 sale,  distribuite tra il piano terra e il secondo piano del palazzo Aymerich; dieci sale sono destinate ai menhir ed alla grande statuaria antropomorfa preistorica della Sardegna centro-meridionale,  l’undicesima, la galleria, affacciata sulla grande corte interna, ospita invece reperti di cultura materiale provenienti da scavi archeologici di contesti funerari megalitici sarcidanesi.","intero// ridotto// ridotto","euro 5,00// euro 3,00// euro 2,00","Adulti dai 18 ai 65 anni.// Minori sino ai 18 anni, adulti oltre 65 anni e gruppi oltre 20 persone.// Classi scolastiche di ogni ordine e grado.","// ","estivo// invernale","MA-DO// MA-DO","10:00-13:00// 15:30-19:00// 10:00-13:00// 15:00-18:00","Su prenotazione sono possibili convenzioni per gruppi organizzati, contattando la segreteria del museo.","bookshop// visite guidate","Le visite guidate sono comprese nel prezzo del biglietto.","+39 0782 693238// +39 3423507760","menhirlaconi@gmail.com","https://www.menhirmuseum.it","https://it-it.facebook.com/MenhirMuseum"
"R20FRB0002","museo, galleria e/o raccolta","Etnografia e antropologia","MEOC (Museo Etnografico Oliva Carta Cannas)","https://www.sardegnacultura.it/j/v/258?s=24515&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=MEOC (Museo Etnografico Oliva Carta Cannas)","SS","Aggius",,"Via Monti di Lizu, 6","40.928234652","9.065460341","aperto","a pagamento","Fedele ricostruzione di una casa tradizionale aggese: arredi d'epoca, oggetti d'uso quotidiano, e un percorso attraverso l'economia domestica e le produzioni alimentari tipiche. Rivisitazione di antichi mestieri: lavorazione di sughero, granito, calzoleria, falegnameria, tintoria dei tessuti. Il MEOC ospita la mostra permanente del tappeto aggese, e vari laboratori: tessitura, laboratorio del pane della festa, tintoria, sartoria e bambole di pezza.","intero// ridotto","euro 4,00// euro 3,00","Adulti.// Minori sino ai 7 anni.","16 Ottobre-31 Dicembre// Febbraio-Marzo// 01 Aprile-15 Ottobre","invernale// invernale// estivo","MA-DO// MA-SA// LU-DO","10:00-13:00// 15:30-17:00// 10:00-13:00// 10:00-13:00// 15:00-19:00","Chiusure speciali: 24, 25, 26, 31 dicembre; chiuso tutti i pomeriggi i sabati e le domeniche di febbraio; mese di chiusura: gennaio.","bookshop// laboratori didattico-educativi// visite guidate// Wi-Fi","Sono attivi nel museo: il laboratorio del pane della festa, il laboratorio delle fasi di lavorazione della lana, compresa la colorazione naturale, di tessitura, degli antichi giochi di strada, il laboratorio sartoriale con ricostruzione delle bambole di pezza, di bella grafia e il laboratorio sulle erbe aromatiche e mediche. Le visite guidate possono essere fruite anche nelle lingue inglese e francese.","+39 079 621029// +39 3494533208","info@museodiaggius.it","http://www.museodiaggius.it","https://www.facebook.com/museoaggius"
"R20FRB0003","museo, galleria e/o raccolta","Storia","Museo del Banditismo","https://www.sardegnacultura.it/j/v/258?s=37932&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo del Banditismo","SS","Aggius",,"Via Pretura, s.n.c.","40.929522590","9.065865433","aperto","a pagamento","Il paese di Aggius è stato l’epicentro del banditismo gallurese per circa tre secoli a partire dalla metà del Cinquecento alla metà dell'Ottocento. Ospitato nello storico palazzo dell'ex Pretura, il Museo del Banditismo si articola in 4 sale e propone una rassegna particolare di dossier giudiziari, atti e documenti di processi d'imprese criminali, la descrizione della vita di alcuni famosi latitanti, le armi usate dai carabinieri per dare la caccia ai briganti e costumi d'epoca.","intero// ridotto","euro 4,00// euro 3,00","Adulti.// Minori sino ai 7 anni.","16 Ottobre-31 Marzo// 01 Aprile-15 Ottobre","invernale// estivo","// LU-DO","// 10:00-13:00// 15:00-19:00","Nel periodo invernale il museo è aperto su prenotazione, con orari e giorni da definirsi anticipatamente.","visite guidate","Per le visite guidate è richiesta la prenotazione; la durata della visita è di 30 minuti circa, e possono essere fruite anche nelle lingue inglese e francese..","+39 079 621029// +39 3494533208","info@museodiaggius.it","http://www.museodiaggius.it","https://www.facebook.com/pg/museoaggius"
"R20FRB0004","museo, galleria e/o raccolta","Etnografia e antropologia","Museo del Giocattolo Tradizionale della Sardegna","https://www.sardegnacultura.it/j/v/258?s=24538&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo del Giocattolo Tradizionale della Sardegna","OR","Ales","Zeppara","Via San Simeone, 9","39.774994428","8.831142701","aperto","a pagamento","Il museo è articolato per sezioni tematiche: dalle imitazioni di armi e di mezzi di trasporto, alle bambole, ai giochi che riproducono suoni e rumori. Una riproposizione fedele del giocattolo fatto in casa, che rispecchia l’autentica anima popolare e il suo sforzo di adattamento attraverso la valorizzazione degli elementi dell’ambiente circostante.","intero// ridotto// gratuito","euro 3,00// euro 2,00// ","Adulti.// Minori sino ai 14 anni, adulti oltre 65 anni e scolaresche.// Accompagnatori e/o insegnanti: 1 ogni 15 alunni.","Ottobre-Aprile// Ottobre-Aprile// Ottobre-Aprile// Ottobre-Aprile// Ottobre-Aprile// Ottobre-Aprile// Maggio-Settembre// Maggio-Settembre// Maggio-Settembre// Maggio-Settembre// Maggio-Settembre// Maggio-Settembre","invernale// invernale// invernale// invernale// invernale// invernale// estivo// estivo// estivo// estivo// estivo// estivo","MA// ME// GI// VE// SA// DO// MA// ME// GI// VE// SA// DO","16:30-18:30// 10:00-13:00// 16:30-18:30// 11:00-13:00// 16:30-18:30// 10:00-12:00// 16:30-18:30// 16:00-19:00// 10:00-13:00// 16:00-19:00// 10:00-13:00// 17:30-19:30// 17:30-19:30// 11:00-13:00// 17:30-19:30// 17:30-19:30// 10:00-12:00// 17:00-20:00// 10:00-13:00// 17:00-20:00","Prenotazione: facoltativa.","accessibilità fisica facilitata per visitatori con esigenze specifiche// audio guide// laboratori didattico-educativi// Wi-Fi",,"+39 0783 998072// +39 3406742512","museogiocattolosardegna@gmail.com// annarita.punzo80@gmail.com","http://www.museogiocattolosardegna.it// http://www.comune.ales.or.it/ales/zf/index.php/musei-monumenti/index/dettaglio-museo/museo/1","https://www.facebook.com/Museo-Giocattolo-Tradizionale-Sardegna-767496366930928"
"R20FRB0005","museo, galleria e/o raccolta","Religione e culto","Museo Diocesano d'Arte Sacra","https://www.sardegnacultura.it/j/v/258?s=37921&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Diocesano d'Arte Sacra","OR","Ales",,"Piazza Cattedrale, 1","39.768700749","8.816201724","aperto","a pagamento","Il museo di arte sacra è stato inaugurato il 27 giugno 2009. E' ospitato al secondo e al terzo piano dell'ex Seminario Tridentino, edificio ottocentesco ristrutturato agli inizi del XXI secolo. Nato grazie alla volontà di Mons. Antonino Orrù, accoglie i tesori provenienti in massima parte dalla cattedrale, ma non mancano rari pezzi delle altre parrocchie della diocesi. Il Museo diocesano di Ales nell’ultimo periodo si è impreziosito ulteriormente di altre opere d’arte. 4 campane sec. XVI - XVIII appartenute alla cattedrale di Ales e 2 leoni scolpiti in pietra del XVII secolo. Le quattro campane, che hanno funzionato fino agli anni '90, sono state rimosse e sostituite, con le attuali, nel corso di quel decennio. Le quattro prestigiose campane, fuse durante i vari episcopati, sono oggi una testimonianza di gusto e di raffinatezza dei Vescovi che le hanno commissionate e degli artigiani che le crearono. La campana più antica tra le quattro esposte al Museo è stata fusa nel 1573.","intero// ridotto","euro 3,00// euro 1,50","Adulti.// ","// ","invernale// estivo","VE-DO// VE-DO","10:00-13:00// 15:00-18:00// 10:00-13:00// 16:00-19:00","Il museo è aperto anche nei giorni festivi infrasettimanali. Per visitare il museo nei giorni dal lunedì al giovedì è necessaria la prenotazione.","accessibilità fisica facilitata per visitatori con esigenze specifiche// bookshop// visite guidate// Wi-Fi",,"+39 0783 91974// +39 3287824283","museodiocesanoales@gmail.com","http://www.museo.diocesialesterralba.va.it","https://it-it.facebook.com/museo.diocesanoales"
"R20FRB0006","area o parco archeologico","Archeologia","Area archeologica Anghelu Ruju","https://www.sardegnacultura.it/j/v/258?s=20740&v=2&c=2489&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Area archeologica Anghelu Ruju","SS","Alghero",,"SP 42, Strada dei Due Mari","40.632537328","8.326859304","aperto","a pagamento","Scoperto casualmente nel 1903, il sito di Anghelu Ruju ospita uno fra i più grandi cimiteri preistorici della Sardegna. La necropoli di Anghelu Ruju, ubicata in un’area prevalentemente pianeggiante delimitata a ovest dal Rio Filibertu, è costituita da 38 sepolture, 37 del tipo a domus de janas e una a sepoltura a fossa. La necropoli si trova sui terreni dell'azienda Sella e Mosca s.p.a..","intero// ridotto// cumulativo intero// cumulativo ridotto","euro 5,00// euro 4,00// euro 8,00// euro 6,00","Adulti.// Minori dai 15 ai 17 anni.// Adulti, biglietto cumulativo per Necropoli Anghelu Ruju e Nuraghe Palmavera.// Minori dai 15 ai 17 anni.","Novembre-Marzo// Aprile, Ottobre// Maggio-Settembre","// // ","LU-DO// LU-DO// LU-DO","10:00-14:00// 09:00-18:00// 09:00-19:00","L’ingresso al sito è gratuito per i minori da 0 a 14 anni, disabili, studenti e docenti di archeologia. Biglietto famiglia: tariffa intera per i genitori e ingresso gratuito fino a tre figli, per ogni figlio in più oltre il terzo è necessario l'acquisto di un biglietto a tariffa ridotta. Il sito è chiuso il giorno di Natale.","accessibilità fisica facilitata per visitatori con esigenze specifiche// audio guide// bookshop// visite guidate","Si possono effettuare visite guidate al costo extra di euro 3,00 per persona previa prenotazione chiamando il +39 32943855947, le visite guidate sono fruibili anche nelle lingue: inglese, francese, spagnolo, tedesco. Audio-guida: euro 3,00 - l'audio-guida è in altoparlante e multilingue. La struttura di ricezione è dotata di uno store con vari articoli: libri, oli, liquori, souvenir e prodotti cosmetici artigianali.","+39 3294385947","info@coopsilt.it// silt.coop@tiscali.it","https://necropoliangheluruju.com",
"R20FRB0007","area o parco archeologico","Archeologia","Area archeologica Santu Pedru","https://www.sardegnacultura.it/j/v/258?s=21684&v=2&c=2489&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Area archeologica Santu Pedru","SS","Alghero",,"SS 127bis","40.623011368","8.403106557","aperto","a pagamento","La necropoli è situata sul versante sud-occidentale del Monte Santu Pedru, un modesto rilievo trachitico di forma troncoconica, sulla cui sommità è presente un nuraghe monotorre con i resti di un villaggio. Ad oggi essa è costituita da dieci tombe disposte in direzione nord-sud, lungo il pendio. La necropoli è stata scoperta nel 1959 durante i lavori per la realizzazione della condotta idrica di Alghero.","intero","euro 10,00",,,,,,"La Necropoli di Santu Pedru viene aperta soltanto in occasioni straordinarie ed è possibile prenotare delle visite guidate telefonando al +39 3294385947. La visita è sconsigliata a coloro che soffrono di claustrofobia. Prenotazione: richiesta.","visite guidate","Data la particolarità del sito, la visita guidata potrà essere effettuata solo da gruppi di 20 persone per volta,  le visite guidate sono fruibili anche nelle lingue: inglese, francese, spagnolo, tedesco.","+39 3294385947// +39 3490871963","info@coopsilt.it// silt.coop@tiscali.it","https://www.algheroturismo.eu/inserimenti/necropoli-santu-pedru",
"R20FRB0008","museo, galleria e/o raccolta","Storia","Museo Casa Manno","https://www.sardegnacultura.it/j/v/258?s=37908&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Casa Manno","SS","Alghero",,"Via Santa Barbara, 23","40.559434370","8.312117249","aperto","a pagamento","Il Museo Casa Manno, inaugurato nel 2012, custodisce un considerevole patrimonio espositivo, composto di arredi, quadri, sculture, stampe, libri antichi, carteggi, manoscritti e documentazione originale, di assoluto rilievo storico e artistico, riguardante l’illustre intellettuale sardo Giuseppe Manno.","intero// ridotto// ridotto// gratuito","euro 5,00// euro 3,00// euro 1,00// ","Adulti.// Minori e adulti sino ai 25 anni, adulti oltre 65 anni e  giornalisti.// Studenti di ogni ordine e grado.// Accompagnatori di classi scolastiche, minori sino ai 12 anni, accompagnatori di disabili.",,,"LU, VE-DO","16:00-20:00","Prenotazione: facoltativa.","accessibilità fisica facilitata per visitatori con esigenze specifiche// bookshop// laboratori didattico-educativi// percorso di visita per bambini// visite guidate// Wi-Fi","Museo Casa Manno offre ai visitatori percorsi di ricerca per la scuola, attività per bambini e famiglie, workshop, corsi, conferenze e giornate di studio.","+39 079 9732026// +39 3911254574","info@fondazionegiuseppesiotto.org// info@museocasamanno.it// fondazionediricerca@fondazionegiuseppesiotto.org","https://www.casamanno.it","https://it-it.facebook.com/museocasamanno"
"R20FRB0009","museo, galleria e/o raccolta","Storia naturale e scienze naturali","Museo del Corallo","https://www.sardegnacultura.it/j/v/258?s=37909&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo del Corallo","SS","Alghero",,"Via XX Settembre, 8","40.557000980","8.316293480","aperto","a pagamento","Il Museo del Corallo ospitato all’interno della Villa Costantino, in stile liberty, racconta la storia del nostro Mare Mediterraneo attraverso una delle principali risorse del territorio, il Corallium Rubrum.","intero// ridotto// gratuito","euro 5,00// euro 4,00// ","Adulti.// Minori dai 15 ai 18 anni, gruppi e classi scolastiche oltre 20 persone, con ingresso gratuito per un docente ogni 20 studenti.// Disabili e accompagnatori, giornalisti e minori sino ai 14 anni.",,,"MA-DO","10:30-13:00// 17:00-19:30","In aggiunta ai biglietti ordinari è prevista la formula del biglietto famiglia: con tariffa ingresso intera per i due genitori e ingresso gratuito fino a tre figli, sopra i 14 anni, questa formula prevede che per ogni figlio in più, oltre il terzo, è necessario l’acquisto di un biglietto aggiuntivo a tariffa ridotta; Il biglietto famiglia è valido per tutti i musei, le mostre, le torri, eccetto che per le grandi mostre e per le Grotte di Nettuno.","accessibilità fisica facilitata per visitatori con esigenze specifiche// visite guidate",,"+39 079 9734045// +39 079 979054","info@fondazionealghero.it","https://museialghero.it/museo-del-corallo// https://www.algheroturismo.eu/inserimenti/museodelcorallo","https://www.facebook.com/museodelcoralloalghero"
"R20FRB0010","museo, galleria e/o raccolta","Arte, arte sacra","Museo Diocesano d'Arte Sacra","https://www.sardegnacultura.it/j/v/258?s=24613&v=2&c=2487&t=1","https://catalogo.sardegnacultura.it/search/?searchText=Museo Diocesano d'Arte Sacra","SS","Alghero",,"Piazza Duomo, s.n.c.","40.559204168","8.313139939","aperto","a pagamento","Il Museo Diocesano d'Arte Sacra si trova nel centro storico della città in Piazza Duomo 1. E' ospitato nell'oratorio della vecchia chiesa di Nostra Signora del Rosario adiacente alla cattedrale di Santa Maria. Il museo è stato inaugurato il 30-6-2000 e raccoglie opere d'arte sacra della cattedrale e delle altre chiese storiche della città.","intero// ridotto// ridotto// cumulativo intero// cumulativo ridotto// gratuito","euro 4,00// euro 3,00// euro 8,00// euro 6,00// euro 16,00// ","Adulti.// Minori dai 6 ai 18 anni e adulti oltre 65 anni.// Per massimo 5 componenti di un nucleo famigliare.// Adulti, con visita al museo e al campanile.// Visita al museo e al campanile per un massimo di 5 componenti di un nucleo famigliare.// Minori sino ai 6 anni.","// ","invernale// estivo","LU, ME-DO// LU, ME-DO","10:30-13:00// 16:30-19:30// 10:30-13:00// 17:00-20:00","Il museo diocesano può organizzare mostre temporanee, o partecipare al circuito di mostre temporanee cittadine, con modalità e tariffe stabilite di volta in volta.","bookshop// visite guidate","Le visite guidate possono essere fruite anche nelle lingue: inglese, francese, spagnolo.","+39 079 9733041","mosaico.museo@tiscali.it// museodiocesanoalghero@gmail.com",,"https://www.facebook.com/museoartesacra.alghero// https://www.instagram.com/MuseoDiocesanoAlghero"
