Categoria,Provincia,Comune,Denominazione,Indirizzo,Telefono,Orari,Biglietto intero,Biglietto ridotto,Note,scheda
Musei archeologici,Trapani,Mazara del Vallo,Museo del Satiro (Chiesa di Sant'Egidio),"Chiesa di Sant'Egidio, Piazza Plebiscito",0923933917,"Tutti i giorni, compresi i festivi, dalle 9,00 alle 19,45. Servizio di biglietteria sino alle 19.15","6,00 €","3,00 €",Lunedì 19 giugno chiusura per disinfestazione,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=33&amp;IdSito=87
Musei etnoantropologici,Siracusa,Palazzolo Acreide,Museo regionale casa-museo Antonino Uccello a Palazzolo Acreide,"Via Machiavelli, 19",0931 881499,Giorni feriali dal lunedì a sabato dalle 9.00 alle 19.00. Festivi tranne prima e terza domenica del mese dalle 14.00 alle 19.30. Prima e terza domenica del mese dalle 9.00 alle 13.30. Chiusura biglietteria mezz'ora prima.,"2,00 €","1,00 €","Biglietto Unico - Casa museo e Area Archeologica di Akrai: Intero € 5,00 Ridotto € 2,50.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=15&amp;IdSito=84
Aree archeologiche,Ragusa,Ispica,Area archeologica Parco Forza,"Ispica, Via Cavagrande,snc",0932952608,"Dal 1 aprile tutti i giorni, festivi compresi, dalle 9.00 alle 18.15","2,00 €","1,00 €",Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica. La prima domenica di ogni mese ingresso gratuito,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=189&amp;IdSito=126
Aree archeologiche,Caltanissetta,Gela,Castelluccio,Contrada Cucinella Spataro. SS 117 Bis,0933912626,Chiuso temporaneamente,,,Biglietto unico con Museo Archeologico Regionale di Gela,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=322&amp;IdSito=21
Aree archeologiche,Messina,Terme Vigliatore,Villa Romana di San Biagio,"Via Nazionale 3, località San Biagio",0909740488,Giorni feriali da aprile a settembre ore 09:00/19:00; festivi da giugno a settembre ore 09:00/19:00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=44&amp;IdSito=51
Aree archeologiche e Antiquarium,Caltanissetta,Gela,Antiquarium iconografico e Mura Timoleontee di Capo Soprano,Contrada Scavone - Viale Indipendenza,093391226 - 0933930975,"In ora solare, dal lunedì al sabato, dalle 9,30 alle 13,00 e dalle 14,00 alle 18,00 (ultimo ingresso ore 17,30). CHIUSO I FESTIVI  tranne la prima domenica di ogni mese, dalle 9,00 alle 13,00 (ultimo ingresso ore 12,30)","4,00 €","2,00 €","Apertura tutte le domeniche di giugno e luglio fino alle ore 13,00 (ultimo ingresso ore 12,30)
Biglietto unico con il Museo archeologico regionale di Gela",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=37&amp;IdSito=20
Monumentale,Palermo,Monreale,Chiostro Santa Maria la Nuova (Duomo),Piazza Guglielmo il Buono,0917071425 - 0917071411 -  0916404403,"Da lunedì a sabato 9,00-19,00 (ultimo ingresso 18,30) domenica e festivi 9,00-13,30 (ultimo ingresso 13,00)","6,00 €","3,00 €",Prima domenica del mese ingresso gratuito,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=49&amp;IdSito=63
Aree archeologiche,Siracusa,Noto,Area archeologica di Eloro,,,Chiuso,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=182&amp;IdSito=82
Monumentale,Palermo,Palermo,Palazzo Ajutamicristo,"Via Garibaldi, 41",0917071425 - 3357957161,"Martedi e sabato dalle 9.00 alle 18.30. Lunedì, mercoledì, giovedì, venerdì dalle 9.00 alle 13.30.",Gratuito,Gratuito,Prima domenica del mese apertura dalle 9.00 alle 13.00,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=175&amp;IdSito=135
Aree archeologiche,Siracusa,Siracusa,Percorso ipogeico di Piazza Duomo,Piazza Duomo 14,0931450801,In atto chiuso,"5,00 €","2,50 €",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=96&amp;IdSito=117
Musei etnoantropologici,Messina,Mistretta,Museo delle Tradizioni silvo-pastorali di Mistretta,Via Libertà 184,0921381696 (temporaneamente disattivato),"Fino al 30 aprile: aperto da martedì a sabato, dalle 9,00 alle 13,00. Da maggio aperto da martedì a domenica (9,00 - 13,00). 1 maggio aperto.",Gratuito,Gratuito,"Per la disattivazione delle linee telefoniche di rete fissa, le comunicazioni al Museo potranno essere inviate alle caselle polomuseale.me.uo3@regione.sicilia.it e museo.messina.uo3@regione.sicilia.it",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=6&amp;IdSito=127
Monumentale,Palermo,Palermo,Real Albergo dei Poveri,Corso Calatafimi 217,091422314,"Da martedì a sabato, dalle 9.30 alle 18,30. Domeniche e festivi dalle 9,30 alle 13,30. Lunedì chiuso",,,"Sede espositiva per mostre temporanee, dipendente dal Polo regionale di Palermo per i Parchi e i Musei archeologici",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=171&amp;IdSito=131
Aree archeologiche,Palermo,Palermo,Villino Florio e Giardino,Via Regina Margherita,0917025471 - 0917071425,Da martedì a sabato dalle 9.00 alle 13.00. Prima domenica del mese ingresso gratuito dalle 9.00 alle 13.30 (chiusura biglietteria 30 minuti prima). Lunedì chiuso,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=176&amp;IdSito=119
Monumentale,Palermo,Palermo,Chiostro di San Giovanni degli Eremiti,Via dei Benedettini 20,0917071425 - 0916515019  - 0917071411,"Da lunedì a sabato 9,00-19,00 (ultimo ingresso 18,30) domenica e festivi 9,00-13,30 (ultimo ingresso 13,00)","6,00 €","3,00 €",Prima domenica del mese ingresso gratuito,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=48&amp;IdSito=58
Monumentale,Messina,Villafranca Tirrena,Castello di Bauso,Piazza Castello,090334948,Da lunedì a venerdì dalle 9 alle 13. Mercoledì dalle 15.30 alle 17.30. Domenica e festivi su prenotazione. Rivolgersi alla Pro loco (3933687036) o all’Ufficio del Turismo (0903310311),Gratuito,Gratuito,,
Aree archeologiche,Enna,Piazza Armerina,Museo regionale della Villa Romana del Casale a Piazza Armerina,"Piazza Armerina, Piazza Cattedrale 20 - Palazzo Trigona",0935687667,Non aperto al pubblico,,,Museo in allestimento. Per informazioni urpmuseo.casale@regione.sicilia.it oppure visita www.villaromanadelcasale.it.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=39&amp;IdSito=124
Aree archeologiche,Palermo,Cefala' Diana,Bagni di Cefalà Diana,Cefalà Diana (seguire indicazioni),0917071425 - Rangers 0918291551,"giovedì e sabato 9,00-19,00; martedì, mercoledì e venerdì 9,00-14,00. Prima domenica del mese 9.00-13.30. Ultimo ingresso 30 minuti prima della chiusura. Lunedì chiuso",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=324&amp;IdSito=156
Aree archeologiche,Agrigento,Licata,Area archeologica di Monte Sant'Angelo e Castel Sant'Angelo,Zona archeologica di Castel Sant'Angelo - Licata,0922772602,"Da Lunedì al Sabato dalle ore 9,00 alle ore 13,30. Tutte le Domeniche e le Festività chiusura totale",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=160&amp;IdSito=14
Parco naturalistico,Messina,Taormina,Giardino di Villa Caronia,Via Pirandello 107 - Taormina - Sicily - Italy,Direzione Tel : 0942628738 Fax : 0942628738,www.parconaxostaormina.it - Aperto da Lunedi a Venerdi dalle 9.30 alle 13.30 - Chiuso Sabato e Domenica.,Gratuito,Gratuito,"Audio Tour 
LINK IZI.travel 
https://izi.travel/it/italia/guide-di-citta-in-sicilia-taormina
Scarica App su iziTRAVEL",
Aree archeologiche,Agrigento,Licata,Area archeologica di Licata,Contrada Stagnone - Pontillo,0922772602,"Nei giorni 16 aprile, 17 aprile, 23 aprile, 25 aprile, 30 aprile, 1 maggio 2017 l'area archeologica rimarrà chiusa",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=157&amp;IdSito=11
Zone archeologiche e Antiquarium,Messina,Patti,Area archeologica Teatro antico e Antiquarium di Tindari,Via del Teatro Greco - Località Tindari,0941369023,"maggio, giugno, luglio e agosto ore 09:00/19:00. Dal 1 al 15 settembre ore 09:00/18:30; dal 16 al 30 settembre ore 09:00/18:00.","6,00 €","3,00 €","Dal 1 settembre 2015 è istituito il biglietto unico per la visita della Villa Romana di Patti Marina e dell'area archeologica di Tindari (tariffa intera di € 8,00 e ridotta di € 4,00), la cui validità è di tre giorni dalla data di emissione.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=46&amp;IdSito=48
Aree archeologiche,Catania,Adrano,Mura Dionigiane,Via Catania,3315771468,In atto chiuse al pubblico,Ingresso libero,Ingresso libero,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=167&amp;IdSito=36
Musei archeologici,Ragusa,Ragusa,Museo regionale di Kamarina,S.P. 102 Km.1 C.da Cammarana-Ragusa. Indirizzo postale 97019 Scoglitti (RG) c.p. n.60. Mail museo.camarina@regione.sicilia.it,0932 826004,Aperto tutti i giorni feriali dalle 9.00 alle 14.00 e dalle 15.00 alle 19.00. Apertura festiva solo la prima domenica del mese,"4,00 €","2,00 €",Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=29&amp;IdSito=121
Antiquaria,Agrigento,Ravanusa,Zona Archeologica,Monte Saraceno - Ravanusa,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Giorni feriali:aperto tutti i giorni dalle 8,30 alle 19.
Domeniche e festività infrasettimanale:chiuso",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=327&amp;IdSito=161
Musei e Gallerie,Agrigento,Agrigento,Biblioteca - Museo regionale Luigi Pirandello di Agrigento,Casa Natale di Luigi Pirandello - Contrada Caos Villaseta,0922511826 e-mail: polomuseale.ag.uo3@regione.sicilia.it,"Aperta dal lunedì al sabato dalle 9,00 alle 13,30 e dalle 14,30 alle 19,30 (ultimo ingresso mezz'ora prima della chiusura). Domenica e festivi dalle 9,00 alle 13,30.
Prima domenica del mese ingresso gratuito.","4,00 €","2,00 €","Il 6 luglio 2017 la ''Casa natale'' sarà aperta al pubblico soltanto dalle 9,00 alle 13,30 (ultimo ingresso mezz'ora prima della chiusura). Chiusura al pubblico dalle ore 14,00.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=1&amp;IdSito=6
Musei archeologici e Zone archeologiche,Palermo,Lercara Friddi,Parco archeologico-industriale e museo della zolfara di Lercara Friddi,Via Vittorio Emanuele III 52 - Villa Rose-Gardner,091 8252212 - 3346476411,"Chiuso, in allestimento",,,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=316&amp;IdSito=153
Aree archeologiche,Catania,Catania,Terme della Rotonda,Via della Mecca,095/7150508 - polomuseale.ct@regione.sicilia.it; poloregionalect.urp@regione.sicilia.it,Tutti i mercoledì e tutte le domeniche dalle ore 9.00 alle 13.00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=150&amp;IdSito=33
